KRITACOLORING_17,Need a hint? The Paint Bucket is on a row all by itself. Click on it to select it.,daemon2,,,
KRITACOLORING_18,"In art software, there are always TONS of ways to add color to your art, usually using different Tools. You can paint it on bit by bit with a Brush, or you can fill in a big area with the Fill Tool.",daemon2,,,
KRITACOLORING_19,"Okay, so you've got your color selected and you're ready to put it down with the Fill Tool. Go ahead and click on that red shirt.",daemon2,,,
KRITACOLORING_20,"Do you like the look? If not, you can always undo it and select a new color to try again.",daemon2,,,
KRITACOLORING_21,"Anytime you click the wrong spot, or you want to undo a change, there are two ways to do it. At the <b>top left</b>, the Undo button has an arrow pointing backward - Or you can press <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">Ctrl + Z</span></tt>.",daemon2,,,
KRITACOLORING_22,"If you accidentally hit something REALLY weird and Undo doesn't work...Well, you can always close the project. Choose 'No' when it asks if you want to save your (accidental) changes. Then you can reopen it and start fresh. ",daemon2,,,
KRITACOLORING_23,"You really should save your work as you go, though. <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">Ctrl + S</span></tt>!",daemon2,,,
KRITACOLORING_24,"Now, our friend here looks pretty darn chill. But what's with that weird checkerboard pattern in the background?",daemon2,,,
KRITACOLORING_25,"That is how the computer tells us that the background is ""transparent"". ",daemon2,,,
KRITACOLORING_26,The computer can't show us a see-through background. What would that even look like? So instead it shows us a checkerboard to let us know it's transparent.,daemon2,,,
KRITACOLORING_27,"Now, since this picture is <b>transparent</b>, you can put this picture on top of anything you want, and you won't have any awkward square around it. You'll just see a happy, chill dude sitting on top of....whatever.",daemon2,,,
KRITACOLORING_28,"All right, fine. I can see why it's kind of hard to believe that looking at.....well, checkerboard. Okay, I'll show you something cool, and then you can test it out. ",daemon2,,,
KRITACOLORING_29,"Oh, but you should save first! You never know when you might lose power, or have your computer crash....Anything could happen. So as soon as you make any changes to a project, always Save. ",daemon2,,,
KRITACOLORING_30,And then Save again for each of the significant changes you make.,daemon2,,,
KRITACOLORING_31,"You think I'm being paranoid? Well, you'll be sorry if you lose an hour and a half's work because something random happens, like your cat walking across your keyboard...",daemon2,,,
KRITACOLORING_32,"Anyway! Look over there on the right, near the middle. There's a little tab label that says 'Layers.' A Layer is like a transparent, clear sheet of paper. ",daemon2,,,
KRITACOLORING_33,You can draw stuff on different ones and stack them together to make all the parts look like one big picture.,daemon2,,,
KRITACOLORING_34,"Right now, there's only one Layer, called Layer 1. We're going to make a new one.",daemon2,,,
KRITACOLORING_35,"Click the plus symbol inside a square, just underneath the Layers. ",daemon2,,,
KRITACOLORING_36,"You can name the new layer whatever you want, or you can just leave it as 'Layer 2'.",daemon2,,,
KRITACOLORING_37,"Now, the new Layer is on top of the old one, like we laid down a transparent sheet on top of our picture. But we want to make a background, not cover up our meditating friend.",daemon2,,,
KRITACOLORING_38,"Drag Layer 2 (or whatever you named it) to the other side of Layer 1. You may want to rename it as 'Layer 0' or 'Background.' If so, right-click on the layer and select Rename.",daemon2,,,
KRITACOLORING_39,"Before we try to draw on this new layer, we need to have it selected - click on it so that it turns blue. Now we could use the brush tool or the Fill Tool, but it'll go faster with Fill.",daemon2,,,
KRITACOLORING_40,"Choose a lovely, calming shade of...whatever, then select the Fill Tool, and click anywhere that's empty. You might need to click again between the arm and knee.",daemon2,,,
KRITACOLORING_41,"Doesn't it look lovely? You can do all kinds of stuff with layers. You could make clouds and grass here, add some polka dots, or anything else! The best part is not having to worry about drawing over your main character by accident.",daemon2,,,
KRITACOLORING_42,"We'll learn more about what you can add next time, and how to ""photoshop"" decorations onto your photos.",daemon2,,,
KRITACOLORING_43,"In the meantime, you can try customizing an image of your favorite cartoon character. Just download an image from the internet, open it in Krita and use the Fill Tool. See what they look like with dyed green hair, or hot pink clothes.",daemon2,,,
KRITACOLORING_44,See you soon!,daemon2,,,
